filename,person_index,label
20251202_161027.jpg,0,sitting
20251202_161027.jpg,1,sitting
20251202_161027.jpg,2,sitting
20251202_161027.jpg,3,slouching
20251202_161027.jpg,4,sitting
20251202_161105.jpg,0,sitting
20251202_161105.jpg,1,sitting
20251202_161105.jpg,2,sitting
20251202_161105.jpg,3,sitting
20251202_161105.jpg,4,sitting
20251202_161135.jpg,0,sitting
20251202_161135.jpg,1,sitting
20251202_161135.jpg,2,sitting
20251202_161135.jpg,3,sitting
20251202_161135.jpg,4,slouching
20251202_161209.jpg,0,slouching
20251202_161209.jpg,1,sitting
20251202_161209.jpg,2,sitting
20251202_161209.jpg,3,sitting
20251202_161209.jpg,4,sitting
20251202_161209.jpg,5,sitting
20251202_161213.jpg,0,slouching
20251202_161213.jpg,1,sitting
20251202_161213.jpg,2,sitting
20251202_161213.jpg,3,sitting
20251202_161213.jpg,4,sitting
20251202_161213.jpg,5,sitting
20251202_161221.jpg,0,sitting
20251202_161221.jpg,1,sitting
20251202_161221.jpg,2,slouching
20251202_161221.jpg,3,sitting
20251202_161221.jpg,4,sitting
20251202_161221.jpg,5,sitting
20251202_161223.jpg,0,sitting
20251202_161223.jpg,1,sitting
20251202_161223.jpg,2,slouching
20251202_161223.jpg,3,sitting
20251202_161223.jpg,4,sitting
20251202_161229.jpg,0,slouching
20251202_161229.jpg,1,sitting
20251202_161229.jpg,2,sitting
20251202_161229.jpg,3,slouching
20251202_161229.jpg,4,sitting
20251202_161229.jpg,5,sitting
20251202_161231.jpg,0,slouching
20251202_161231.jpg,1,sitting
20251202_161231.jpg,2,sitting
20251202_161231.jpg,3,slouching
20251202_161231.jpg,4,sitting
20251202_161232.jpg,0,slouching
20251202_161232.jpg,1,sitting
20251202_161232.jpg,2,sitting
20251202_161232.jpg,3,slouching
20251202_161232.jpg,4,sitting
20251202_161245.jpg,0,sitting
20251202_161245.jpg,1,standing
20251202_161245.jpg,2,slouching
20251202_161245.jpg,3,sitting
20251202_161245.jpg,4,sitting
20251202_161246.jpg,0,sitting
20251202_161246.jpg,1,sitting
20251202_161246.jpg,2,standing
20251202_161246.jpg,3,sitting
20251202_161246.jpg,4,sitting
20251202_161336.jpg,0,sitting
20251202_161336.jpg,1,slouching
20251202_161336.jpg,2,sitting
20251202_161336.jpg,3,slouching
20251202_161336.jpg,4,standing
20251202_161336.jpg,5,sitting
20251202_161336.jpg,6,sitting
20251202_161338.jpg,0,sitting
20251202_161338.jpg,1,slouching
20251202_161338.jpg,2,slouching
20251202_161338.jpg,3,sitting
20251202_161338.jpg,4,standing
20251202_161338.jpg,5,standing
20251202_161338.jpg,6,sitting
20251202_161407.jpg,0,sitting
20251202_161407.jpg,1,sitting
20251202_161407.jpg,2,sitting
20251202_161407.jpg,3,sitting
20251202_161407.jpg,4,sitting
20251202_161407.jpg,5,sitting
20251202_161407.jpg,6,sitting
20251202_161409.jpg,0,sitting
20251202_161409.jpg,1,sitting
20251202_161409.jpg,2,sitting
20251202_161409.jpg,3,sitting
20251202_161409.jpg,4,sitting
20251202_161409.jpg,5,sitting
20251202_161411.jpg,0,sitting
20251202_161411.jpg,1,sitting
20251202_161411.jpg,2,sitting
20251202_161411.jpg,3,sitting
20251202_161411.jpg,4,sitting
20251202_161411.jpg,5,sitting
20251202_161411.jpg,6,sitting
20251202_161412.jpg,0,sitting
20251202_161412.jpg,1,sitting
20251202_161412.jpg,2,sitting
20251202_161412.jpg,3,sitting
20251202_161412.jpg,4,sitting
20251202_161412.jpg,5,sitting
20251202_161412.jpg,6,sitting
20251202_161414.jpg,0,sitting
20251202_161414.jpg,1,sitting
20251202_161414.jpg,2,sitting
20251202_161414.jpg,3,sitting
20251202_161414.jpg,4,sitting
20251202_161414.jpg,5,sitting
20251202_161420.jpg,0,sitting
20251202_161420.jpg,1,sitting
20251202_161420.jpg,2,sitting
20251202_161420.jpg,3,sitting
20251202_161420.jpg,4,sitting
20251202_161420.jpg,5,sitting
arm_crossed1.jpg,0,arms_crossed
arm_crossed2.jpg,0,arms_crossed
arm_crossed3.jpg,0,arms_crossed
arm_crossed4.jpg,0,arms_crossed
